user,R,phase,attack
user_1,2.285,ORANGE,1
user_2,2.285,ORANGE,1
user_3,2.1,ORANGE,1
user_4,1.233,GREEN,0
user_5,1.233,GREEN,0
user_6,0.8,GREEN,0
user_7,0.8,GREEN,0
user_8,2.285,ORANGE,1
user_9,2.1,ORANGE,1
user_10,2.1,ORANGE,1
user_11,0.5,GREEN,0
user_12,0.893,GREEN,0
user_13,0.8,GREEN,0
user_14,0.8,GREEN,0
user_15,0.8,GREEN,0
user_16,1.951,GREEN,0
user_17,1.612,GREEN,0
user_18,1.1,GREEN,0
user_19,0.8,GREEN,0
user_20,2.285,ORANGE,1
user_21,0.8,GREEN,0
user_22,0.0,GREEN,0
user_23,1.4,GREEN,0
user_24,1.495,GREEN,0
user_25,1.4,GREEN,0
user_26,2.1,ORANGE,1
user_27,1.951,GREEN,0
user_28,1.495,GREEN,0
user_29,0.8,GREEN,0
user_30,0.5,GREEN,0
user_31,0.8,GREEN,0
user_32,0.8,GREEN,0
user_33,0.8,GREEN,0
user_34,1.4,GREEN,0
user_35,0.0,GREEN,0
user_36,0.5,GREEN,0
user_37,2.1,ORANGE,1
user_38,1.4,GREEN,0
user_39,2.1,ORANGE,1
user_40,0.8,GREEN,0
user_41,1.4,GREEN,0
user_42,1.233,GREEN,0
user_43,2.285,ORANGE,1
user_44,1.4,GREEN,0
user_45,1.495,GREEN,0
user_46,0.8,GREEN,0
user_47,0.8,GREEN,0
user_48,1.4,GREEN,0
user_49,1.951,GREEN,0
user_50,0.8,GREEN,0
user_51,2.285,ORANGE,1
user_52,1.4,GREEN,0
user_53,0.0,GREEN,0
user_54,1.495,GREEN,0
user_55,2.285,ORANGE,1
user_56,0.5,GREEN,0
user_57,1.4,GREEN,0
user_58,1.4,GREEN,0
user_59,1.233,GREEN,0
user_60,0.5,GREEN,0
user_61,1.495,GREEN,0
user_62,0.8,GREEN,0
user_63,1.951,GREEN,0
user_64,0.8,GREEN,0
user_65,1.951,GREEN,0
user_66,1.4,GREEN,0
user_67,2.1,ORANGE,1
user_68,0.8,GREEN,0
user_69,2.1,ORANGE,1
user_70,0.8,GREEN,0
user_71,1.495,GREEN,0
user_72,0.0,GREEN,0
user_73,1.4,GREEN,0
user_74,0.8,GREEN,0
user_75,0.8,GREEN,0
user_76,0.0,GREEN,0
user_77,1.1,GREEN,0
user_78,2.1,ORANGE,1
user_79,0.8,GREEN,0
user_80,0.8,GREEN,0
user_81,1.951,GREEN,0
user_82,1.951,GREEN,0
