user,time,device,action,commands,t,d,a,c
user_1,18:43,DEV-9406,rename,ipconfig;net user,0,1,1,2
user_2,23:28,Laptop-001,delete,sc query;net user,1,0,1,2
user_3,04:00,DEV-7826,rename,,1,1,1,0
user_4,15:51,Laptop-001,rename,sc query,0,0,1,1
user_5,07:34,PC-5678,delete,cmd.exe,0,0,1,1
user_6,08:47,PC-1234,rename,,0,0,1,0
user_7,15:53,PC-5678,rename,,0,0,1,0
user_8,03:37,PC-5678,copy,schtasks;cmd.exe,1,0,1,2
user_9,05:43,DEV-5425,rename,,1,1,1,0
user_10,02:36,DEV-6717,delete,,1,1,1,0
user_11,09:08,DEV-5108,read,,0,1,0,0
user_12,18:57,DEV-4698,read,sc query,0,1,0,1
user_13,19:04,Laptop-001,rename,,0,0,1,0
user_14,11:36,PC-1234,rename,,0,0,1,0
user_15,14:52,Laptop-001,copy,,0,0,1,0
user_16,19:50,DEV-1615,rename,cmd.exe,0,1,1,1
user_17,02:18,DEV-4606,read,sc query,1,1,0,1
user_18,02:55,DEV-2722,read,,1,1,0,0
user_19,07:43,PC-5678,rename,,0,0,1,0
user_20,07:43,DEV-6574,copy,sc query;whoami,0,1,1,2
user_21,18:40,PC-1234,delete,,0,0,1,0
user_22,16:56,PC-5678,read,,0,0,0,0
user_23,05:00,PC-1234,rename,,1,0,1,0
user_24,11:42,Laptop-001,delete,whoami;net user,0,0,1,2
user_25,06:08,DEV-7620,rename,,0,1,1,0
user_26,01:38,DEV-9655,delete,,1,1,1,0
user_27,22:57,PC-5678,delete,whoami,1,0,1,1
user_28,14:14,Laptop-001,rename,whoami;cmd.exe,0,0,1,2
user_29,13:11,PC-5678,rename,,0,0,1,0
user_30,04:19,PC-5678,read,,1,0,0,0
user_31,15:32,PC-1234,copy,,0,0,1,0
user_32,09:40,PC-1234,rename,,0,0,1,0
user_33,20:58,PC-1234,rename,,0,0,1,0
user_34,22:28,Laptop-001,write,,1,0,1,0
user_35,17:39,Laptop-001,read,,0,0,0,0
user_36,21:23,DEV-2998,read,,0,1,0,0
user_37,04:39,DEV-2811,rename,,1,1,1,0
user_38,05:37,Laptop-001,copy,,1,0,1,0
user_39,23:33,DEV-7850,copy,,1,1,1,0
user_40,10:14,PC-5678,rename,,0,0,1,0
user_41,08:47,DEV-5898,rename,,0,1,1,0
user_42,07:35,Laptop-001,delete,ipconfig,0,0,1,1
user_43,23:15,Laptop-001,delete,net user;sc query,1,0,1,2
user_44,04:36,Laptop-001,rename,,1,0,1,0
user_45,15:32,PC-1234,write,schtasks;whoami,0,0,1,2
user_46,19:54,PC-1234,write,,0,0,1,0
user_47,13:19,PC-1234,delete,,0,0,1,0
user_48,23:26,Laptop-001,write,,1,0,1,0
user_49,07:09,DEV-4189,delete,sc query,0,1,1,1
user_50,06:13,Laptop-001,rename,,0,0,1,0
user_51,02:56,PC-1234,copy,sc query;whoami,1,0,1,2
user_52,17:41,DEV-5952,write,,0,1,1,0
user_53,13:26,PC-1234,read,,0,0,0,0
user_54,10:21,PC-5678,rename,ipconfig;cmd.exe,0,0,1,2
user_55,22:56,Laptop-001,rename,sc query;schtasks,1,0,1,2
user_56,17:04,DEV-9117,read,,0,1,0,0
user_57,00:57,Laptop-001,copy,,1,0,1,0
user_58,23:10,Laptop-001,rename,,1,0,1,0
user_59,11:53,Laptop-001,copy,schtasks,0,0,1,1
user_60,00:10,PC-1234,read,,1,0,0,0
user_61,12:56,PC-5678,write,ipconfig;powershell.exe,0,0,1,2
user_62,21:31,PC-5678,rename,,0,0,1,0
user_63,20:00,DEV-5824,write,sc query,0,1,1,1
user_64,13:16,Laptop-001,write,,0,0,1,0
user_65,04:56,Laptop-001,copy,ipconfig,1,0,1,1
user_66,10:48,DEV-8210,copy,,0,1,1,0
user_67,01:32,DEV-4026,copy,,1,1,1,0
user_68,08:45,Laptop-001,copy,,0,0,1,0
user_69,23:04,DEV-9777,rename,,1,1,1,0
user_70,20:10,PC-5678,delete,,0,0,1,0
user_71,18:28,PC-1234,write,schtasks;sc query,0,0,1,2
user_72,16:32,PC-5678,read,,0,0,0,0
user_73,20:10,DEV-5797,rename,,0,1,1,0
user_74,13:30,PC-1234,delete,,0,0,1,0
user_75,18:33,PC-1234,copy,,0,0,1,0
user_76,10:26,PC-1234,read,,0,0,0,0
user_77,01:36,DEV-2115,read,,1,1,0,0
user_78,04:49,DEV-1505,delete,,1,1,1,0
user_79,21:59,PC-5678,write,,0,0,1,0
user_80,15:47,PC-1234,write,,0,0,1,0
user_81,10:39,DEV-9134,copy,whoami,0,1,1,1
user_82,22:37,PC-1234,rename,powershell.exe,1,0,1,1
user_83,18:24,PC-1234,write,schtasks,0,0,1,1
user_84,06:16,Laptop-001,write,,0,0,1,0
user_85,11:48,PC-1234,read,,0,0,0,0
user_86,05:21,DEV-8750,read,,1,1,0,0
user_87,09:44,PC-1234,write,,0,0,1,0
user_88,13:47,PC-5678,read,schtasks,0,0,0,1
user_89,17:53,Laptop-001,read,,0,0,0,0
user_90,11:43,DEV-1082,read,sc query;cmd.exe,0,1,0,2
user_91,09:52,DEV-1322,delete,,0,1,1,0
user_92,20:12,Laptop-001,read,,0,0,0,0
user_93,08:30,Laptop-001,rename,sc query;ipconfig,0,0,1,2
user_94,16:04,PC-5678,delete,,0,0,1,0
user_95,15:20,PC-1234,rename,schtasks,0,0,1,1
user_96,21:19,DEV-1886,copy,,0,1,1,0
user_97,22:43,DEV-6283,copy,schtasks;cmd.exe,1,1,1,2
user_98,19:30,DEV-8884,copy,,0,1,1,0
user_99,09:11,PC-1234,delete,,0,0,1,0
user_100,07:10,DEV-2697,read,powershell.exe;schtasks,0,1,0,2
user_101,08:48,PC-1234,read,,0,0,0,0
user_102,06:07,PC-1234,write,sc query;powershell.exe,0,0,1,2
user_103,02:51,PC-5678,delete,,1,0,1,0
user_104,13:53,PC-5678,rename,,0,0,1,0
user_105,20:18,PC-5678,read,,0,0,0,0
user_106,18:29,DEV-9135,copy,powershell.exe;cmd.exe,0,1,1,2
user_107,09:16,DEV-9026,delete,,0,1,1,0
user_108,09:54,PC-5678,write,,0,0,1,0
user_109,18:47,PC-1234,delete,,0,0,1,0
user_110,14:27,PC-1234,copy,,0,0,1,0
user_111,18:15,DEV-6034,write,,0,1,1,0
user_112,10:38,Laptop-001,rename,,0,0,1,0
user_113,15:18,PC-5678,write,,0,0,1,0
user_114,05:39,Laptop-001,rename,,1,0,1,0
user_115,12:31,DEV-3132,rename,,0,1,1,0
user_116,00:37,PC-1234,rename,,1,0,1,0
user_117,03:10,Laptop-001,write,net user;powershell.exe,1,0,1,2
user_118,10:17,DEV-9949,delete,,0,1,1,0
user_119,00:15,Laptop-001,rename,,1,0,1,0
user_120,20:29,PC-1234,copy,ipconfig;sc query,0,0,1,2
user_121,15:55,Laptop-001,rename,ipconfig;sc query,0,0,1,2
user_122,00:07,Laptop-001,copy,,1,0,1,0
user_123,13:12,PC-1234,rename,,0,0,1,0
user_124,22:30,Laptop-001,delete,,1,0,1,0
user_125,00:18,Laptop-001,rename,,1,0,1,0
user_126,19:07,PC-5678,write,,0,0,1,0
user_127,03:25,PC-1234,delete,net user;cmd.exe,1,0,1,2
user_128,04:17,PC-5678,copy,,1,0,1,0
user_129,20:58,DEV-6867,copy,sc query,0,1,1,1
user_130,21:57,PC-5678,delete,,0,0,1,0
user_131,13:39,PC-5678,write,whoami,0,0,1,1
user_132,10:53,PC-1234,write,,0,0,1,0
user_133,17:43,DEV-9858,copy,cmd.exe;sc query,0,1,1,2
user_134,11:33,PC-1234,read,,0,0,0,0
user_135,09:11,PC-5678,read,,0,0,0,0
user_136,04:36,PC-1234,rename,,1,0,1,0
user_137,07:04,DEV-9497,delete,,0,1,1,0
user_138,05:07,PC-1234,read,,1,0,0,0
user_139,09:58,Laptop-001,copy,,0,0,1,0
user_140,04:29,PC-1234,copy,,1,0,1,0
user_141,23:48,Laptop-001,delete,,1,0,1,0
user_142,00:42,PC-5678,delete,whoami;net user,1,0,1,2
user_143,17:56,Laptop-001,delete,,0,0,1,0
user_144,18:58,DEV-8780,delete,,0,1,1,0
user_145,14:50,DEV-8107,write,ipconfig;schtasks,0,1,1,2
